international_plan,number_vmail_messages,total_day_calls,total_day_charge,total_eve_calls,total_eve_charge,total_night_calls,total_night_charge,total_intl_calls,total_intl_charge,number_customer_service_calls
0.0,0.49019607843137253,0.6666666666666666,0.755700871898055,0.5823529411764706,0.5428663862827564,0.4084507042253521,0.5959354453078303,0.15000000000000002,0.5,0.1111111111111111
0.0,0.5098039215686274,0.7454545454545455,0.46059691482226695,0.6058823529411764,0.5376900679391783,0.49295774647887325,0.6222355050806934,0.15000000000000002,0.6851851851851852,0.1111111111111111
0.0,0.0,0.6909090909090909,0.69382964453387,0.6470588235294118,0.33322549336784213,0.5,0.3753735803945009,0.25,0.6092592592592593,0.0
1.0,0.0,0.4303030303030303,0.8534540576794098,0.5176470588235293,0.17017146554513102,0.3943661971830986,0.4674237895995218,0.35000000000000003,0.3296296296296296,0.2222222222222222
1.0,0.0,0.6848484848484848,0.4751844399731724,0.7176470588235294,0.40795858945325136,0.6197183098591549,0.44052600119545726,0.15000000000000002,0.5055555555555555,0.3333333333333333
1.0,0.0,0.593939393939394,0.6368209255533199,0.5941176470588235,0.6065998058880622,0.5985915492957746,0.4865511057979677,0.30000000000000004,0.31481481481481477,0.0
0.0,0.47058823529411764,0.5333333333333333,0.6218980549966466,0.6352941176470588,0.9582659333549014,0.5985915492957746,0.5098625224148237,0.35000000000000003,0.3759259259259259,0.3333333333333333
1.0,0.0,0.47878787878787876,0.4475184439973173,0.5529411764705883,0.2834034293109026,0.4436619718309859,0.5074716078900179,0.30000000000000004,0.3555555555555555,0.0
0.0,0.0,0.5878787878787879,0.5259892689470155,0.47058823529411764,0.9670009705596895,0.4014084507042254,0.5182307232516438,0.2,0.4351851851851852,0.1111111111111111
1.0,0.7254901960784313,0.509090909090909,0.7370892018779344,0.6529411764705882,0.6104820446457457,0.45070422535211263,0.8158995815899581,0.25,0.5592592592592592,0.0
0.0,0.0,0.8303030303030303,0.36804158283031524,0.48823529411764705,0.6282756389517956,0.5492957746478874,0.49970113568439933,0.30000000000000004,0.6351851851851852,0.4444444444444444
